Player,Tm,Pos,Type,Class,Details
Ricardo Allen,ATL,S,Achilles,I-R,Allen suffered a torn Achilles and is on the injured reserve list.
Andy Levitre,ATL,G,Tricep,I-R,Levitre is on the injured reserve list with a torn triceps.
Keanu Neal,ATL,S,Knee,I-R,Neal is on injured reserve with a torn ACL.
Brandon Fusco,ATL,G,Ankle,I-R,Fusco is on injured reserve due to an ankle injury.
Devonta Freeman,ATL,RB,Groin,I-R,"Freeman in on injured reserve with a groin injury, and it is unknown if he will be designated for return against the Cardinals in Week 15."
Duke Riley,ATL,LB,Neck,probable,Riley is dealing with a neck injury but is likely to suit up Thursday against the Saints.
Deion Jones,ATL,LB,Foot,out,Jones has been activated from the Injured Reserve/Designated for Return list as he has recovered from a foot injury but will not return Thursday against the Saints.
Calvin Ridley,ATL,WR,Thigh,probable,Ridley has a thigh injury but is expected to play Thursday against the Saints.
De'Vondre Campbell,ATL,LB,Thigh,questionable,Campbell is nursing a thigh injury and it is uncertain if he will suit up Thursday against the Saints.
Robert Alford,ATL,CB,Foot,questionable,Alford is dealing with a foot injury and it is unknown if he will be available against the Saints on Thursday.
Desmond Trufant,ATL,CB,Thigh,questionable,Trufant is bothered by an injured thigh and his status for Thursday's matchup against the Saints is up in the air.
Damontae Kazee,ATL,S,Shoulder,questionable,Kazee left the last game game due to a shoulder injury and it is unclear if he will be active Thursday against the Saints.
Cory Carter,BUF,P,Knee,I-R,Carter is recovering from a torn ACL and has been placed on injured reserve.
Corey Bojorquez,BUF,P,Shoulder,I-R,Bojorquez has been placed on injured reserve with a shoulder injury.
Taiwan Jones,BUF,RB,Neck,I-R,Jones has landed on injured reserve due to a neck injury.
Shaq Lawson,BUF,DE,Elbow,questionable,Lawson has an elbow injury and it is unclear if he will play Sunday against the Jaguars.
Trent Murphy,BUF,DE,Knee,questionable,Murphy is sidelined due to a knee injury and it is unclear if he will return to action against the Jaguars on Sunday.
Taron Johnson,BUF,CB,Shoulder,questionable,Johnson left the previous game with an injured shoulder and it is undetermined if he will line up against the Jaguars on Sunday.
Robert Foster,BUF,WR,Finger,questionable,Foster exited the previous game due to an injured finger and it is unclear if he will be in the lineup Sunday against the Jaguars.
