Player,Tm,Pos,Type,Class,Details
Tyler Kroft,CIN,TE,Foot,doubtful,Kroft exited the previous game due to a right foot injury and it is unlikely he will be available for Sunday's contest against the Steelers.
William Jackson,CIN,CB,Knee,questionable,Jackson III is dealing with a knee injury and it is unknown if he will take part in Sunday's matchup against the Steelers.
John Ross,CIN,WR,Groin,questionable,Ross sat out the last game and it is unclear if he will be available for Sunday's matchup against the Steelers.
Tyler Eifert,CIN,TE,Ankle,I-R,Eifert is recovering from surgery to repair a broken right ankle while on the injured reserve list.
Giovani Bernard,CIN,HB,Knee,out,Bernard is sidelined with a knee injury and will be held out of action until the beginning of November.
Rod Taylor,CIN,G,Knee,I-R,Taylor has landed on injured reserve with a torn ACL.
Lenny Jones,CLE,DL,Undisclosed,I-R,Jones is on injured reserve due to an unspecified ailment.
Dan Vitale,CLE,FB,Calf,I-R,Vitale is recovering from a calf injury while on injured reserve.
Tanner Vallejo,CLE,LB,Concussion,questionable,Vallejo is experiencing concussion-like symptoms and his status for Sunday's game versus the Chargers is in question.
Seth Devalve,CLE,TE,Hamstring,probable,DeValve has a hamstring injury but is likely to suit up against the Chargers on Sunday.
E.J. Gaines,CLE,DB,Groin,questionable,Gaines is dealing with a groin injury and it is uncertain if he will be available Sunday against the Chargers.
Damarious Randall,CLE,DB,Heel,questionable,Randall is nursing a lingering heel injury and it is undetermined if he will participate in Sunday's game against the Chargers.
James Burgess,CLE,LB,Leg,questionable,Burgess Jr. has sat out the previous two games due to a right lower-leg injury and it is unclear if he will play Sunday against the Chargers.
Rashard Higgins,CLE,WR,Knee,out,Higgins suffered a sprained MCL in his knee and is expected to be sidelined until at least the latter part of October.
Terrance Mitchell,CLE,DB,Forearm,I-R,Mitchell is on injured reserve due to a fractured forearm and is expected to miss at least eight weeks.
Howard Wilson,CLE,DB,Foot,I-R,Wilson is on the injured reserve list due to patellar tendon surgery.
Ricardo Louis,CLE,WR,Neck,I-R,Louis has landed on the injured reserve list due to neck surgery.
Joe Haeg,IND,T,Ankle,I-R,Haeg is dealing with an ankle injury and has landed on the injured reserve list. It is unclear if he will be activated in time for Week 11 against the Titans.
James Wright,IND,WR,Knee,I-R,Wright has reverted to the injured reserve list after passing through waivers with a knee injury.
Ronald Martin,IND,S,Shoulder,I-R,Martin has been placed on injured reserve due to a shoulder injury.
J'Marcus Webb,IND,T,Hamstring,I-R,Webb is on the injured reserve list due to a hamstring injury.
Brad Kaaya,IND,QB,Back,I-R,Kaaya is on injured reserve with a back injury.
