Player,Tm,Pos,Type,Class,Details
Ricardo Allen\AlleRi00,ATL,S,Achilles,I-R,Allen suffered a torn Achilles and is on the injured reserve list.
Andy Levitre\LeviAn20,ATL,G,Tricep,I-R,Levitre is on the injured reserve list with a torn triceps.
Deion Jones\JoneDe01,ATL,LB,Foot,I-R,Jones has landed on injured reserve with a foot injury and it is unknown if he will be activated against the Browns in Week 10.
Keanu Neal\NealKe01,ATL,S,Knee,I-R,Neal is on injured reserve with a torn ACL.
Vic Beasley\BeasVi00,ATL,LB,Ankle,questionable,Beasley Jr. has an ankle injury and it is uncertain if he will suit up against the Steelers on Sunday.
Derrick Shelby\ShelDe00,ATL,DE,Groin,questionable,Shelby has missed his last two games due to a groin injury and it is unknown if he will participate Sunday against the Steelers.
Grady Jarrett\JarrGr00,ATL,DT,Ankle,questionable,Jarrett exited the last game due to a sprained ankle and it is undetermined if he will suit up against the Steelers on Sunday.
Justin Bethel\BethJu00,ATL,CB,Knee,questionable,Bethel missed the last game due to a knee injury and it is unclear if he will take part Sunday against the Steelers.
Devonta Freeman\FreeDe00,ATL,RB,Knee,questionable,Freeman has sat out the past three games due to a right knee injury and it is uncertain if he will return to action against the Steelers on Sunday.
Cory Carter\CartCo00,BUF,P,Knee,I-R,Carter is recovering from a torn ACL and has been placed on injured reserve.
Marcus Murphy\MurpMa03,BUF,RB,Ribs,probable,Murphy sat out the previous game due to a rib injury but is likely to play against the Titans on Sunday.
Micah Hyde\HydeMi00,BUF,S,Groin,questionable,Hyde left the last game with a groin injury and it is unclear if he will play Sunday against the Titans.
LeSean McCoy\McCoLe01,BUF,RB,Hand,questionable,McCoy has a hand injury and it is uncertain if he will be available against the Titans on Sunday.
Phillip Gaines\GainPh00,BUF,CB,Elbow,questionable,Gaines has been held out of the past two games with a dislocated elbow and it is uncertain if he will suit up Sunday against the Titans.
Kelvin Benjamin\BenjKe00,BUF,WR,Concussion,questionable,Benjamin exited the previous game to be evaluated for a concussion and it is unclear if he will suit up against the Titans on Sunday.
Greg Olsen\OlseGr00,CAR,TE,Foot,out,Olsen fractured his right foot but is progressing in his recovery. A timeline for his return has yet to be established.
Da'Norris Searcy\SearDa00,CAR,S,Concussion,I-R,Searcy has been placed on injured reserve after suffering a concussion.
Curtis Samuel\SamuCu00,CAR,WR,Heart,out,Samuel is recovering from a minor procedure conducted to fix an irregular heartbeat and it is unclear when he will return to the lineup.
Daryl Williams\WillDa06,CAR,T,Knee,I-R,Williams has been placed on the injured reserve list due to a knee injury. It is unknown if he will be activated in Week 10 against the Steelers.
Elijah Hood\HoodEl00,CAR,RB,Knee,I-R,Hood suffered a knee injury and is on the injured reserve list and is expected to miss the first eight weeks of the season.
Matt Kalil\KaliMa00,CAR,T,Knee,I-R,Kalil is on the injured reserve list after having arthroscopic right knee surgery conducted during the preseason and is expected to miss at least the first eight weeks of the season.
Kevon Seymour\SeymKe00,CAR,CB,Shoulder,I-R,Seymour has been placed on injured reserve with a shoulder injury.
Trai Turner\TurnTr01,CAR,G,Concussion,probable,Turner has missed the last two games with concussion-like symptoms but is expected to be available Sunday against the Giants.
Damiere Byrd\ByrdDa00,CAR,WR,Knee,questionable,Byrd has sat out the previous two games due to a knee injury and it is unknown if he will play against the Giants on Sunday.
Fozzy Whittaker\WhitFo00,CAR,RB,Knee,I-R,Whittaker has landed on the injured reserve list after tearing his ACL.
Ross Cockrell\CockRo00,CAR,CB,Shin,I-R,Cockrell is on the injured reserve list as he had surgery to repair a fractured left fibula and tibia.
Damian Parms\ParmDa01,CAR,S,Shoulder,I-R,Parms is on injured reserve with a shoulder injury.
Thomas Davis\DaviTh20,CAR,LB,Suspension,out,Thomas has received a four-game suspension for violating the league's policy on performance enhancing drugs. He will be permitted to play in Week 6 against the Redskins.
Marcus Cooper\CoopMa00,CHI,DB,Hamstring,questionable,Cooper Sr. has missed the past two games with a hamstring injury and it is undetermined if he will play against the Dolphins during Week 6.
Prince Amukamara\AmukPr00,CHI,CB,Hamstring,questionable,Amukamara missed the last game due to a hamstring injury and it is unknown if he will participate in Week 6 against the Dolphins.
Anthony Miller\MillAn02,CHI,WR,Shoulder,questionable,Miller sat out the previous game due to a dislocated shoulder and it is uncertain if he will partake in Week 6 against the Dolphins.
Andrew Trumbetti\TrumAn00,CHI,LB,Undisclosed,I-R,Trumbetti is on injured reserve due to an unspecified ailment.
Adam Shaheen\ShahAd00,CHI,TE,Foot,I-R,Shaheen is on injured reserve with a right foot sprain and an ankle injury. It is uncertain if he will be activated in time for Week 9 against the Bills.
Marlon Brown\BrowMa00,CHI,WR,Concussion,I-R,Brown has landed on injured reserve due to concussion-like symptoms.
Sam Acho\AchoSa00,CHI,LB,Pectoral,I-R,Acho has been designated for injured reserve with a torn pectoral muscle.
Zach Miller\MillZa02,CHI,TE,Leg,I-R,Miller is expected to miss the entire 2018 season while on the PUP list as he is recuperating from vascular surgery to repair a torn popliteal artery in his dislocated left knee that ended his 2017 season.
Ryan Glasgow\GlasRy00,CIN,DT,Knee,I-R,Glasgow is on the injured reserve list with a torn ACL.
Billy Price\PricBi01,CIN,C,Foot,out,Price has a right foot sprain and is expected to need three-to-four weeks to heal.
Joe Mixon\MixoJo00,CIN,HB,Knee,out,Mixon underwent a procedure to remove a loose body in his knee and is expected to miss two-to-four weeks.
Davontae Harris\HarrDa05,CIN,CB,Knee,I-R,Harris has been placed on injured reserve with a knee sprain and will have to sit out the first eight weeks of the season.
Cethan Carter\CartCe00,CIN,TE,Shoulder,I-R,Carter suffered a shoulder injury and is on the injured reserve list and is expected to miss the first eight weeks of the season.
Trayvon Henderson\HendTr01,CIN,S,Arm,I-R,Henderson is on the injured reserve list with an arm injury.
John Ross\RossJo00,CIN,WR,Groin,questionable,Ross sustained a groin injury in the last game leaving his status for Sunday against the Dolphins clouded.
Mark Walton\WaltMa00,CIN,RB,Concussion,questionable,Walton sat out the previous game to be evaluated for a concussion and it is unknown if he will be available against the Dolphins on Sunday.
Tyler Eifert\EifeTy00,CIN,TE,Ankle,out,Eifert suffered a broken right ankle and is expected to miss the remainder of the season.
Giovani Bernard\BernGi00,CIN,HB,Undisclosed,questionable,Bernard is dealing with an unspecified injury and his availability for Sunday's matchup against the Dolphins is clouded.
