,Teamname,W,L,T,PCT,HOME,AWAY,DIV,CONF,PF,PA,DIFF,STRK,AVG LINE,OFF RK (YDS),OFF YDS/G,PTS FOR/G,DEF RK (YDS),YDS ALWD/G,PTS ALWD/G,H/A,Total Inj,Non-IR,IR,Opp,Winner
0,New England Patriots,7,3,0,0.7,1.0,0.4,1.0,0.7142857142857143,280,236,44,-1,-9.5,10.0,377.2,28.0,23.0,381.4,23.6,0.0,19.0,8.0,11.0,New York Jets,
1,Miami Dolphins,5,5,0,0.5,0.8,0.2,0.6666666666666666,0.5714285714285714,199,256,-57,-1,7.9,28.0,313.6,19.9,26.0,392.3,25.6,0.0,20.0,11.0,9.0,Indianapolis Colts,
2,Buffalo Bills,3,7,0,0.3,0.25,0.3333333333333333,0.5,0.2857142857142857,137,251,-114,1,3.2,31.0,268.6,13.7,2.0,302.2,25.1,1.0,12.0,9.0,3.0,Jacksonville Jaguars,
3,New York Jets,3,7,0,0.3,0.4,0.2,0.0,0.2857142857142857,208,254,-46,-4,9.5,29.0,299.4,20.8,18.0,361.6,25.4,1.0,13.0,8.0,5.0,New England Patriots,
4,Pittsburgh Steelers,7,2,1,0.75,0.6,1.0,0.75,0.6666666666666666,299,225,74,6,-3.0,5.0,410.2,29.9,6.0,326.8,22.5,0.0,15.0,5.0,10.0,Denver Broncos,
5,Baltimore Ravens,5,5,0,0.5,0.6,0.4,0.4,0.625,237,181,56,1,-10.6,12.0,370.2,23.7,1.0,300.0,18.1,1.0,17.0,5.0,12.0,Oakland Raiders,
6,Cincinnati Bengals,5,5,0,0.5,0.6,0.4,0.3333333333333333,0.5,256,312,-56,-2,-3.0,26.0,329.3,25.6,31.0,449.4,31.2,1.0,17.0,8.0,9.0,Cleveland Browns,
7,Cleveland Browns,3,6,1,0.35,0.6,0.0,0.5,0.3333333333333333,218,263,-45,1,3.0,18.0,355.4,21.8,30.0,419.7,26.3,0.0,12.0,4.0,8.0,Cincinnati Bengals,
8,Houston Texans,7,3,0,0.7,0.75,0.6666666666666666,0.6666666666666666,0.7142857142857143,239,205,34,7,-6.5,13.0,364.2,23.9,7.0,330.5,20.5,1.0,12.0,6.0,6.0,Tennessee Titans,
9,Indianapolis Colts,5,5,0,0.5,0.6,0.4,0.6666666666666666,0.5,298,249,49,4,-7.9,9.0,381.5,29.8,20.0,364.9,24.9,1.0,21.0,9.0,12.0,Miami Dolphins,
10,Tennessee Titans,5,5,0,0.5,0.75,0.3333333333333333,0.6666666666666666,0.375,178,189,-11,-1,6.5,30.0,295.4,17.8,9.0,334.9,18.9,0.0,9.0,3.0,6.0,Houston Texans,
11,Jacksonville Jaguars,3,7,0,0.3,0.3333333333333333,0.25,0.0,0.2857142857142857,176,219,-43,-6,-3.2,21.0,347.8,17.6,4.0,319.5,21.9,0.0,18.0,5.0,13.0,Buffalo Bills,
12,Los Angeles Chargers,7,3,0,0.7,0.6,0.8,0.5,0.7142857142857143,262,209,53,-1,-12.3,7.0,400.8,26.2,14.0,353.4,20.9,1.0,15.0,7.0,8.0,Arizona Cardinals,
13,Denver Broncos,4,6,0,0.4,0.4,0.4,0.5,0.2857142857142857,228,235,-7,1,3.0,11.0,371.9,22.8,21.0,375.5,23.5,1.0,14.0,5.0,9.0,Pittsburgh Steelers,
14,Oakland Raiders,2,8,0,0.2,0.2,0.2,0.0,0.16666666666666666,170,293,-123,1,10.6,22.0,347.2,17.0,25.0,387.4,29.3,0.0,19.0,6.0,13.0,Baltimore Ravens,
15,Washington Redskins,6,4,0,0.6,0.5,0.75,1.0,0.75,197,198,-1,-1,7.1,25.0,331.5,19.7,15.0,356.9,19.8,0.0,23.0,10.0,13.0,Dallas Cowboys,
