,Teamname,W,L,T,PCT,HOME,AWAY,DIV,CONF,PF,PA,DIFF,STRK,AVG LINE,OFF RK (YDS),OFF YDS/G,PTS FOR/G,DEF RK (YDS),YDS ALWD/G,PTS ALWD/G,H/A,Total Inj,Non-IR,IR,Opp,Winner
16,Dallas Cowboys,5,5,0,0.5,0.75,0.3333333333333333,0.6666666666666666,0.5714285714285714,203,190,13,2,-7.1,27.0,327.0,20.3,8.0,331.1,19.0,1.0,22.0,14.0,8.0,Washington Redskins,
17,Philadelphia Eagles,4,6,0,0.4,0.4,0.4,0.5,0.2857142857142857,205,231,-26,-2,-5.7,19.0,355.2,20.5,22.0,377.9,23.1,1.0,19.0,9.0,10.0,New York Giants,
18,New York Giants,3,7,0,0.3,0.2,0.4,0.0,0.25,215,263,-48,2,5.7,23.0,346.2,21.5,24.0,381.5,26.3,0.0,12.0,4.0,8.0,Philadelphia Eagles,
19,Chicago Bears,7,3,0,0.7,0.8333333333333334,0.5,0.6666666666666666,0.8333333333333334,294,195,99,4,-2.9,16.0,357.9,29.4,3.0,314.4,19.5,0.0,9.0,4.0,5.0,Detroit Lions,
20,Minnesota Vikings,5,4,1,0.55,0.6,0.5,0.5,0.5714285714285714,241,229,12,-1,-3.5,14.0,363.7,24.1,5.0,320.8,22.9,1.0,11.0,4.0,7.0,Green Bay Packers,
21,Green Bay Packers,4,5,1,0.45,1.0,0.0,0.5,0.3333333333333333,247,243,4,-1,3.5,8.0,398.8,24.7,12.0,349.1,24.3,0.0,16.0,9.0,7.0,Minnesota Vikings,
22,Detroit Lions,4,6,0,0.4,0.6,0.2,0.3333333333333333,0.2857142857142857,222,263,-41,1,2.9,24.0,343.7,22.2,19.0,364.6,26.3,1.0,14.0,10.0,4.0,Chicago Bears,
23,New Orleans Saints,9,1,0,0.9,0.8,1.0,0.5,0.8571428571428571,378,239,139,9,-12.3,4.0,427.1,37.8,16.0,358.2,23.9,1.0,22.0,12.0,10.0,Atlanta Falcons,
24,Carolina Panthers,6,4,0,0.6,1.0,0.2,0.5,0.5714285714285714,260,252,8,-2,-3.4,15.0,360.2,26.0,13.0,352.4,25.2,1.0,18.0,9.0,9.0,Seattle Seahawks,
25,Atlanta Falcons,4,6,0,0.4,0.5,0.25,0.6666666666666666,0.5714285714285714,263,276,-13,-2,12.3,6.0,403.4,26.3,28.0,405.2,27.6,0.0,12.0,7.0,5.0,New Orleans Saints,
26,Tampa Bay Buccaneers,3,7,0,0.3,0.5,0.16666666666666666,0.3333333333333333,0.2857142857142857,267,329,-62,-4,-3.5,3.0,458.5,26.7,27.0,395.9,32.9,1.0,19.0,7.0,12.0,San Francisco 49ers,
27,Seattle Seahawks,5,5,0,0.5,0.5,0.5,0.3333333333333333,0.5714285714285714,246,216,30,1,3.4,20.0,351.1,24.6,11.0,348.1,21.6,0.0,15.0,6.0,9.0,Carolina Panthers,
28,Arizona Cardinals,2,8,0,0.2,0.16666666666666666,0.25,0.5,0.2857142857142857,145,248,-103,-2,12.3,32.0,240.8,14.5,17.0,359.7,24.8,0.0,14.0,7.0,7.0,Los Angeles Chargers,
29,San Francisco 49ers,2,8,0,0.2,0.4,0.0,0.0,0.14285714285714285,230,266,-36,-1,3.5,17.0,356.5,23.0,10.0,344.2,26.6,0.0,13.0,6.0,7.0,Tampa Bay Buccaneers,
