,Avg Line
Jacksonville,5.4
Tennessee,-5.4
NY Jets,3.3
Buffalo,-3.3
NY Giants,-3.5
Washington,3.5
New Orleans,-8.1
Tampa Bay,8.1
New England,-7.5
Miami,7.5
Baltimore,6.7
Kansas City,-6.7
Indianapolis,4.5
Houston,-4.5
Carolina,-2.1
Cleveland,2.1
Atlanta,5.4
Green Bay,-5.4
Denver,-4.0
San Francisco,4.0
Cincinnati,14.0
LA Chargers,-14.0
Philadelphia,3.4
Dallas,-3.4
Detroit,-2.7
Arizona,2.7
Pittsburgh,-10.0
Oakland,10.0
LA Rams,-3.0
Chicago,3.0
Minnesota,3.2
Seattle,-3.2
