,Teamname,W,L,T,PCT,HOME,AWAY,DIV,CONF,PF,PA,DIFF,STRK,AVG LINE,OFF RK (YDS),OFF YDS/G,PTS FOR/G,DEF RK (YDS),YDS ALWD/G,PTS ALWD/G,H/A,Total Inj,Non-IR,IR,Opp,Winner
0,Pittsburgh Steelers,6,2,1,0.722,0.6,1.0,0.75,0.6,279,209,70,5,-5.6,4.0,419.9,31.0,8.0,336.1,23.2,0.0,16.0,5.0,11.0,Jacksonville Jaguars,
1,Cincinnati Bengals,5,4,0,0.556,0.6,0.5,0.5,0.6,235,288,-53,-1,3.5,26.0,337.6,26.1,30.0,454.6,32.0,0.0,20.0,13.0,7.0,Baltimore Ravens,
2,Baltimore Ravens,4,5,0,0.444,0.5,0.4,0.25,0.5714285714285714,213,160,53,-3,-3.5,17.0,366.6,23.7,1.0,305.0,17.8,1.0,20.0,8.0,12.0,Cincinnati Bengals,
3,Houston Texans,6,3,0,0.667,0.75,0.6,0.6666666666666666,0.7142857142857143,216,184,32,6,-3.0,16.0,369.1,24.0,9.0,336.3,20.4,0.0,15.0,9.0,6.0,Washington Redskins,
4,Tennessee Titans,5,4,0,0.556,0.75,0.4,1.0,0.42857142857142855,168,151,17,2,2.2,30.0,299.0,18.7,5.0,328.0,16.8,0.0,13.0,7.0,6.0,Indianapolis Colts,
5,Indianapolis Colts,4,5,0,0.444,0.5,0.4,0.5,0.42857142857142855,260,239,21,3,-2.2,12.0,379.8,28.9,20.0,376.2,26.6,1.0,22.0,11.0,11.0,Tennessee Titans,
6,Jacksonville Jaguars,3,6,0,0.33299999999999996,0.4,0.25,0.0,0.3333333333333333,160,199,-39,-5,5.6,19.0,359.4,17.8,2.0,319.1,22.1,1.0,20.0,7.0,13.0,Pittsburgh Steelers,
7,Kansas City Chiefs,9,1,0,0.9,1.0,0.8,1.0,0.875,353,240,113,4,3.4,2.0,423.1,35.3,31.0,410.7,24.0,0.0,16.0,5.0,11.0,Los Angeles Rams,
8,Los Angeles Chargers,7,2,0,0.778,0.75,0.8,0.6666666666666666,0.8333333333333334,240,186,54,6,-7.0,11.0,392.1,26.7,12.0,356.6,20.7,1.0,12.0,5.0,7.0,Denver Broncos,
9,Denver Broncos,3,6,0,0.33299999999999996,0.4,0.25,0.3333333333333333,0.16666666666666666,205,213,-8,-2,7.0,13.0,377.1,22.8,18.0,364.0,23.7,0.0,17.0,9.0,8.0,Los Angeles Chargers,
10,Oakland Raiders,1,8,0,0.111,0.2,0.0,0.0,0.16666666666666666,147,272,-125,-5,5.3,21.0,349.7,16.3,24.0,399.1,30.2,0.0,20.0,8.0,12.0,Arizona Cardinals,
11,Washington Redskins,6,3,0,0.667,0.6,0.75,1.0,0.75,176,175,1,1,3.0,27.0,337.4,19.6,15.0,361.0,19.4,1.0,24.0,11.0,13.0,Houston Texans,
12,Dallas Cowboys,4,5,0,0.444,0.75,0.2,0.6666666666666666,0.5,181,171,10,1,3.3,29.0,327.4,20.1,6.0,328.6,19.0,0.0,19.0,11.0,8.0,Atlanta Falcons,
13,Philadelphia Eagles,4,5,0,0.444,0.4,0.5,0.5,0.3333333333333333,198,183,15,-1,8.3,15.0,372.9,22.0,14.0,359.2,20.3,0.0,19.0,9.0,10.0,New Orleans Saints,
14,New York Giants,2,7,0,0.222,0.0,0.4,0.0,0.14285714285714285,177,228,-51,1,-1.6,25.0,344.8,19.7,19.0,367.2,25.3,1.0,15.0,7.0,8.0,Tampa Bay Buccaneers,
15,Chicago Bears,6,3,0,0.667,0.8,0.5,0.5,0.8,269,175,94,3,-2.6,18.0,363.4,29.9,3.0,319.6,19.4,1.0,7.0,2.0,5.0,Minnesota Vikings,
16,Minnesota Vikings,5,3,1,0.611,0.6,0.6666666666666666,1.0,0.6666666666666666,221,204,17,1,2.6,14.0,374.3,24.6,4.0,322.2,22.7,0.0,15.0,8.0,7.0,Chicago Bears,
17,Green Bay Packers,4,4,1,0.5,1.0,0.0,0.5,0.4,223,216,7,1,3.0,8.0,403.2,24.8,10.0,345.9,24.0,0.0,20.0,12.0,8.0,Seattle Seahawks,
18,Detroit Lions,3,6,0,0.33299999999999996,0.5,0.2,0.3333333333333333,0.16666666666666666,202,244,-42,-3,3.8,24.0,347.6,22.4,16.0,362.1,27.1,1.0,14.0,10.0,4.0,Carolina Panthers,
19,New Orleans Saints,8,1,0,0.889,0.75,1.0,0.5,0.8333333333333334,330,232,98,8,-8.3,6.0,413.9,36.7,20.0,376.2,25.8,1.0,18.0,7.0,11.0,Philadelphia Eagles,
20,Carolina Panthers,6,3,0,0.667,1.0,0.25,0.5,0.6666666666666666,241,232,9,-1,-3.8,20.0,357.2,26.8,13.0,357.2,25.8,0.0,16.0,7.0,9.0,Detroit Lions,
21,Atlanta Falcons,4,5,0,0.444,0.6,0.25,0.6666666666666666,0.6666666666666666,244,254,-10,-1,-3.3,7.0,408.9,27.1,27.0,414.3,28.2,1.0,12.0,7.0,5.0,Dallas Cowboys,
22,Tampa Bay Buccaneers,3,6,0,0.33299999999999996,0.5,0.2,0.3333333333333333,0.3333333333333333,232,291,-59,-3,1.6,3.0,452.8,25.8,25.0,400.0,32.3,0.0,21.0,10.0,11.0,New York Giants,
23,Los Angeles Rams,9,1,0,0.9,1.0,0.8,1.0,0.8571428571428571,335,231,104,1,-3.4,1.0,448.0,33.5,23.0,355.2,23.1,1.0,10.0,2.0,8.0,Kansas City Chiefs,
24,Seattle Seahawks,4,5,0,0.444,0.3333333333333333,0.5,0.3333333333333333,0.5,219,192,27,-2,-3.0,23.0,348.1,24.3,11.0,346.9,21.3,1.0,19.0,10.0,9.0,Green Bay Packers,
25,Arizona Cardinals,2,7,0,0.222,0.2,0.25,0.5,0.2857142857142857,124,225,-101,-1,-5.3,32.0,236.2,13.8,17.0,363.6,25.0,1.0,17.0,10.0,7.0,Oakland Raiders,
