,Teamname,W,L,T,PCT,HOME,AWAY,DIV,CONF,PF,PA,DIFF,STRK
0,New England Patriots,3,2,0,.600,3-0,0-2,1-0,3-1,133,108,+25,W2
1,Miami Dolphins,3,2,0,.600,2-0,1-2,1-1,3-2,99,117,-18,L2
2,Buffalo Bills,2,3,0,.400,1-1,1-2,0-0,1-2,63,118,-55,W1
3,New York Jets,2,3,0,.400,1-1,1-2,0-1,1-3,123,105,+18,W1
4,Cincinnati Bengals,4,1,0,.800,2-0,2-1,1-0,3-0,153,130,+23,W2
5,Baltimore Ravens,3,2,0,.600,2-0,1-2,1-2,3-2,132,77,+55,L1
6,Cleveland Browns,2,2,1,.500,2-0-1,0-2,1-0-1,2-1-1,114,113,+1,W1
7,Pittsburgh Steelers,2,2,1,.500,1-2,1-0-1,0-1-1,0-2-1,143,133,+10,W1
8,Tennessee Titans,3,2,0,.600,2-0,1-2,2-0,2-2,87,86,+1,L1
9,Jacksonville Jaguars,3,2,0,.600,2-1,1-1,0-1,2-2,102,86,+16,L1
10,Houston Texans,2,3,0,.400,1-1,1-2,1-1,1-2,115,124,-9,W2
11,Indianapolis Colts,1,4,0,.200,0-2,1-2,0-1,0-3,118,138,-20,L3
12,Kansas City Chiefs,5,0,0,1.000,2-0,3-0,2-0,4-0,175,129,+46,W5
13,Los Angeles Chargers,3,2,0,.600,2-1,1-1,1-1,2-1,137,130,+7,W2
14,Denver Broncos,2,3,0,.400,2-1,0-2,1-1,1-3,100,131,-31,L3
15,Oakland Raiders,1,4,0,.200,1-1,0-3,0-2,1-3,107,149,-42,L1
16,Philadelphia Eagles,3,3,0,.500,2-1,1-2,1-0,2-2,137,117,+20,W1
17,Washington Redskins,2,2,0,.500,1-1,1-1,0-0,2-1,83,87,-4,L1
18,Dallas Cowboys,2,3,0,.400,2-0,0-3,1-0,2-2,83,96,-13,L1
19,New York Giants,1,5,0,.167,0-3,1-2,0-2,0-4,117,162,-45,L3
20,Chicago Bears,3,1,0,.750,2-0,1-1,0-1,3-1,111,65,+46,W3
21,Green Bay Packers,2,2,1,.500,2-0-1,0-2,1-1-1,1-2-1,115,114,+1,L1
22,Minnesota Vikings,2,2,1,.500,1-1,1-1-1,0-0-1,2-1-1,113,131,-18,W1
23,Detroit Lions,2,3,0,.400,2-1,0-2,1-0,1-2,125,137,-12,W1
24,New Orleans Saints,4,1,0,.800,2-1,2-0,1-1,3-1,180,140,+40,W4
25,Carolina Panthers,3,1,0,.750,3-0,0-1,0-1,2-1,104,91,+13,W2
26,Tampa Bay Buccaneers,2,2,0,.500,1-1,1-1,1-0,2-1,112,139,-27,L2
27,Atlanta Falcons,1,4,0,.200,1-2,0-2,1-1,1-2,133,163,-30,L3
28,Los Angeles Rams,5,0,0,1.000,3-0,2-0,2-0,3-0,173,98,+75,W5
29,Seattle Seahawks,2,3,0,.400,1-1,1-2,1-1,2-2,116,114,+2,L1
30,Arizona Cardinals,1,4,0,.200,0-3,1-1,1-2,1-4,65,112,-47,W1
31,San Francisco 49ers,1,4,0,.200,1-1,0-3,0-1,1-2,118,146,-28,L3
