,Team,Total Injured,Non-IR,IR
0,Indianapolis,27,18,9
1,Washington,23,12,11
2,Oakland,22,11,11
3,San Francisco,21,15,6
4,Dallas,20,12,8
5,Jacksonville,20,13,7
6,New England,20,10,10
7,Arizona,19,14,5
8,Houston,19,11,8
9,Seattle,18,8,10
10,Green Bay,18,11,7
11,NY Jets,18,14,4
12,Miami,17,10,7
13,Baltimore,17,7,10
14,Tennessee,17,8,9
15,Kansas City,17,8,9
16,Denver,16,8,8
17,Philadelphia,16,7,9
18,Pittsburgh,16,6,10
19,Cincinnati,16,10,6
20,NY Giants,14,5,9
21,Carolina,14,6,8
22,LA Rams,14,6,8
23,Minnesota,14,7,7
24,LA Chargers,13,8,5
25,Tampa Bay,13,6,7
26,New Orleans,12,6,6
27,Cleveland,11,6,5
28,Detroit,11,8,3
29,Atlanta,11,7,4
30,Chicago,9,4,5
31,Buffalo,8,7,1
