Player,Tm,Pos,Type,Class,Details
Lenny Jones,CLE,DL,Undisclosed,I-R,Jones is on injured reserve due to an unspecified ailment.
Rod Streater,CLE,WR,Stinger,I-R,Streater is on the injured reserve list with a neck injury.
Damion Ratley,CLE,WR,Hip,probable,Ratley was lifted from the previous game due to hip and back injuries. It is uncertain if he will suit up against the Buccaneers during Week 7.
Baker Mayfield,CLE,QB,Ankle,probable,Mayfield suffered an ankle injury against the Chargers but is expected to play Week 7 against the Buccaneers.
J.C. Tretter,CLE,OL,Ankle,questionable,Tretter is battling an ankle injury and it is unclear if he will play against the Buccaneers during Week 7.
Joe Schobert,CLE,LB,Hamstring,out,Schobert suffered a hamstring injury and his status is week-to-week going forward.
Tanner Vallejo,CLE,LB,Concussion,questionable,Vallejo missed the last game due to a concussion and it is unclear if he will suit up Week 7 against the Buccaneers.
Derrick Willies,CLE,WR,Shoulder,I-R,Willies has been placed on injured reserve with a shoulder injury and it is unknown if he will be activated in Week 14 against the Panthers.
Rashard Higgins,CLE,WR,Knee,out,Higgins suffered a sprained MCL in his knee and is expected to be sidelined until at least the latter part of October.
Terrance Mitchell,CLE,DB,Forearm,I-R,Mitchell is on injured reserve due to a fractured forearm and is expected to miss at least eight weeks.
Howard Wilson,CLE,DB,Foot,I-R,Wilson is on the injured reserve list due to patellar tendon surgery.
Ricardo Louis,CLE,WR,Neck,I-R,Louis has landed on the injured reserve list due to neck surgery.
Joe Haeg,IND,T,Ankle,I-R,Haeg is dealing with an ankle injury and has landed on the injured reserve list. It is unclear if he will be activated in time for Week 11 against the Titans.
James Wright,IND,WR,Knee,I-R,Wright has reverted to the injured reserve list after passing through waivers with a knee injury.
Ronald Martin,IND,S,Shoulder,I-R,Martin has been placed on injured reserve due to a shoulder injury.
J'Marcus Webb,IND,T,Hamstring,I-R,Webb is on the injured reserve list due to a hamstring injury.
Brad Kaaya,IND,QB,Back,I-R,Kaaya is on injured reserve with a back injury.
Ross Travis,IND,TE,Knee,I-R,Travis has been designated for injured reserve due to a torn ACL.
Tyquan Lewis,IND,DT,Foot,I-R,Lewis is on injured reserve while dealing with a foot injury and is expected to miss the first eight weeks of the season.
Arthur Maulet,IND,CB,Hip,questionable,Maulet missed the last game with a hip injury and it is unclear is he will participate in Week 7 against the Bills.
Marcus Johnson,IND,WR,Ankle,questionable,Johnson was removed from the last game due to an ankle injury and his status is hazy for Week 7 against the Bills.
T.Y. Hilton,IND,WR,Hamstring,questionable,Hilton sat out the last two games due to hamstring and chest injuries. It is unknown if he will be available Week 7 against the Bills.
Ryan Grant,IND,WR,Ankle,questionable,"Grant left the last game with an ankle injury, leaving his status for Week 7 against the Bills up in the air."
Clayton Geathers,IND,S,Neck,questionable,Geathers missed the last game due to a neck injury and a concussion. It is undetermined if he will play against the Bills in Week 7.
Jack Doyle,IND,TE,Hip,questionable,Doyle has been held out of the past four games with a hip injury and it is unclear if he will play Week 7 against the Bills.
Robert Turbin,IND,RB,Shoulder,questionable,Turbin exited the last game due to a shoulder injury and it is unknown if he will be available for Week 7 against the Bills.
Denico Autry,IND,DT,Hamstring,questionable,Autry missed the previous game due to a hamstring injury and his availability against the Bills in Week 7 has yet to be established.
Margus Hunt,IND,DT,Knee,questionable,Hunt missed the previous game due to a knee injury and his status is clouded for Week 7 against the Bills.
Denzelle Good,IND,T,Personal,questionable,Good missed the last game due to a personal matter and it is unclear if he will return for Week 7 against the Bills.
Matthias Farley,IND,S,Hamstring,I-R,Farley is battling a hamstring injury and has been placed on injured reserve. It is undetermined if he will return during Week 15 against the Cowboys.
Matt Slauson,IND,C,Back,I-R,Slauson has landed on the injured reserve list due to two cracked vertebrae in his back.
Deon Cain,IND,WR,Knee,I-R,Cain has landed on injured reserve as he suffered a torn ACL.
Jonathan Owens,ARI,S,Knee,I-R,Owens is on injured reserve with a knee ailment.
Gabe Martin,ARI,LB,Achilles,I-R,Martin is recovering from an Achilles injury while on injured reserve.
Jeremy Cash,ARI,LB,Knee,I-R,Cash is on injured reserve due to a knee injury.
Mike Iupati,ARI,OL,Back,questionable,Iupati was lifted from the previous game due to a back injury and it is unknown if he will play against the Broncos on Thursday.
Jermaine Gresham,ARI,TE,Achilles,questionable,"Gresham is hampered by a lingering Achilles injury, leaving his status for Thursday's clash against the Broncos up in the air."
