,Avg Line
Carolina,3.7
Pittsburgh,-3.7
New Orleans,-5.2
Cincinnati,5.2
Atlanta,-4.3
Cleveland,4.3
Jacksonville,2.8
Indianapolis,-2.8
Detroit,6.5
Chicago,-6.5
Arizona,16.5
Kansas City,-16.5
New England,-6.5
Tennessee,6.5
Washington,2.9
Tampa Bay,-2.9
Buffalo,6.8
NY Jets,-6.8
LA Chargers,-9.8
Oakland,9.8
Miami,9.4
Green Bay,-9.4
Seattle,9.8
LA Rams,-9.8
Dallas,6.9
Philadelphia,-6.9
NY Giants,3.0
San Francisco,-3.0
