Player,Tm,Pos,Type,Class,Details
Ricardo Allen,ATL,S,Achilles,I-R,Allen suffered a torn Achilles and is on the injured reserve list.
Andy Levitre,ATL,G,Tricep,I-R,Levitre is on the injured reserve list with a torn triceps.
Deion Jones,ATL,LB,Foot,I-R,Jones has landed on injured reserve with a foot injury and it is unknown if he will be activated against the Browns in Week 10.
Keanu Neal,ATL,S,Knee,I-R,Neal is on injured reserve with a torn ACL.
Deadrin Senat,ATL,DT,Neck,questionable,Senat exited the previous game due to a neck injury and it is unknown if he will suit up Sunday against the Redskins.
Matt Bryant,ATL,K,Hamstring,questionable,Bryant sat out the last game due to a sore right hamstring and it is unclear if he will be available against the Redskins on Sunday.
Brandon Fusco,ATL,G,Ankle,I-R,Fusco is on injured reserve due to an ankle injury.
Devonta Freeman,ATL,RB,Groin,I-R,"Freeman in on injured reserve with a groin injury, and it is unknown if he will be designated for return against the Cardinals in Week 15."
Cory Carter,BUF,P,Knee,I-R,Carter is recovering from a torn ACL and has been placed on injured reserve.
Trent Murphy,BUF,DE,Knee,questionable,Murphy is dealing with a knee injury and his status for Sunday's matchup versus the Bears is in question.
Derek Anderson,BUF,QB,Concussion,doubtful,Anderson is battling a concussion and is not expected to be available Sunday against the Bears.
Tremaine Edmunds,BUF,LB,Concussion,questionable,Edmunds exited the previous game due to a concussion and it is unknown if he will be cleared in time for Sunday's contest against the Bears.
Taiwan Jones,BUF,RB,Neck,questionable,Jones has missed the past two games due to a neck injury and it is unclear if he will play against the Bears on Sunday.
Dion Dawkins,BUF,T,Lower Body,questionable,Dawkins left the last game due to a lower-body injury and it is uncertain if he will suit up against the Bears on Sunday.
Josh Allen,BUF,QB,Elbow,out,Allen has an injured ulnar collateral ligament in his right elbow and is expected to miss two-to-three weeks.
Da'Norris Searcy,CAR,S,Concussion,I-R,Searcy has been placed on injured reserve after suffering a concussion.
Daryl Williams,CAR,T,Knee,I-R,Williams has been placed on the injured reserve list due to a knee injury. It is unknown if he will be activated in Week 10 against the Steelers.
Kevon Seymour,CAR,CB,Shoulder,I-R,Seymour has been placed on injured reserve with a shoulder injury.
Andre Smith,CAR,LB,Hamstring,questionable,Smith has missed the past three games due to a hamstring injury and it is unclear if he will return Sunday against the Buccaneers.
