Player,Tm,Pos,Type,Class,Details
Ricardo Allen,ATL,S,Achilles,I-R,Allen suffered a torn Achilles and is on the injured reserve list.
Andy Levitre,ATL,G,Tricep,I-R,Levitre is on the injured reserve list with a torn triceps.
Keanu Neal,ATL,S,Knee,I-R,Neal is on injured reserve with a torn ACL.
Brandon Fusco,ATL,G,Ankle,I-R,Fusco is on injured reserve due to an ankle injury.
Devonta Freeman,ATL,RB,Groin,I-R,"Freeman in on injured reserve with a groin injury, and it is unknown if he will be designated for return against the Cardinals in Week 15."
Bruce Irvin,ATL,DE,Acquired,questionable,Irvin was recently acquired and his status for Sunday's contest against the Browns is unknown.
Deion Jones,ATL,LB,Foot,I-R,Jones has landed on injured reserve with a foot injury and it is unknown if he will be activated in time for Sunday's tilt against the Browns.
Matt Bryant,ATL,K,Hamstring,questionable,Bryant has sat out the past two games due to a sore right hamstring and it is unclear if he will be available against the Browns on Sunday.
Robert Alford,ATL,CB,Ankle,questionable,Alford missed the last game due to an ankle injury and it is unknown if he will play Sunday against the Browns.
Calvin Ridley,ATL,WR,Head,questionable,Ridley left the previous game due to a head injury and it is uncertain if he will participate in Sunday's contest against the Browns.
Cory Carter,BUF,P,Knee,I-R,Carter is recovering from a torn ACL and has been placed on injured reserve.
Corey Bojorquez,BUF,P,Shoulder,I-R,Bojorquez has been placed on injured reserve with a shoulder injury.
Taiwan Jones,BUF,RB,Neck,I-R,Jones has landed on injured reserve due to a neck injury.
Charles Clay,BUF,TE,Hamstring,out,Clay was forced from the last game with a hamstring injury and will not be available for Sunday's contest against the Jets.
Derek Anderson,BUF,QB,Concussion,questionable,Anderson missed the last game dealing with a concussion and it is unknown if he will be cleared in time for Sunday's tilt against the Jets.
Trent Murphy,BUF,DE,Knee,questionable,Murphy missed the last game dealing with a knee injury and it is unknown if he will suit up Sunday against the Jets.
Chris Ivory,BUF,RB,Shoulder,questionable,Ivory was forced from the last game due to a left shoulder injury and it is uncertain if he will participate in Sunday's matchup against the Jets.
Josh Allen,BUF,QB,Elbow,questionable,Allen has an injured ulnar collateral ligament and it is undetermined if he will return Sunday against the Jets.
Tremaine Edmunds,BUF,LB,Concussion,questionable,Edmunds missed the previous game due to a concussion and it is unknown if he will be cleared in time for Sunday' clash against the Jets.
