,Avg Line
Indianapolis,10.0
New England,-10.0
Tennessee,-3.4
Buffalo,3.4
Atlanta,3.0
Pittsburgh,-3.0
Denver,1.2
NY Jets,-1.2
Jacksonville,3.1
Kansas City,-3.1
Green Bay,-1.3
Detroit,1.3
Baltimore,-3.1
Cleveland,3.1
NY Giants,6.9
Carolina,-6.9
Miami,6.3
Cincinnati,-6.3
Oakland,5.7
LA Chargers,-5.7
Arizona,4.0
San Francisco,-4.0
Minnesota,3.0
Philadelphia,-3.0
LA Rams,-7.0
Seattle,7.0
Dallas,3.2
Houston,-3.2
Washington,6.5
New Orleans,-6.5
