,Team,Total Injured,Non-IR,IR
0,Washington,32,15,17
1,Oakland,27,9,18
2,San Francisco,24,13,11
3,Indianapolis,22,10,12
4,Jacksonville,22,9,13
5,Arizona,22,6,16
6,Cincinnati,22,8,14
7,Tampa Bay,21,9,12
8,Detroit,21,13,8
9,Miami,21,9,12
10,Philadelphia,21,8,13
11,Green Bay,21,7,14
12,Denver,20,9,11
13,Baltimore,20,9,11
14,Seattle,20,11,9
15,NY Jets,17,10,7
16,Kansas City,16,5,11
17,Houston,16,10,6
18,Pittsburgh,16,6,10
19,Carolina,16,3,13
20,Minnesota,15,7,8
21,Cleveland,15,6,9
22,Dallas,15,7,8
23,Atlanta,15,8,7
24,Tennessee,15,7,8
25,LA Chargers,14,5,9
26,New Orleans,14,3,11
27,New England,13,3,10
28,NY Giants,13,3,10
29,Buffalo,12,6,6
30,LA Rams,11,3,8
31,Chicago,10,4,6
