,Teamname,W,L,T,PCT,HOME,AWAY,DIV,CONF,PF,PA,DIFF,STRK
0,Miami Dolphins,3,1,0,.750,2-0,1-1,1-1,3-1,82,90,-8,L1
1,New England Patriots,2,2,0,.500,2-0,0-2,1-0,2-1,95,84,+11,W1
2,Buffalo Bills,1,3,0,.250,0-1,1-2,0-0,0-2,50,106,-56,L1
3,New York Jets,1,3,0,.250,0-1,1-2,0-1,0-3,89,89,0,L3
4,Cincinnati Bengals,3,1,0,.750,1-0,2-1,1-0,2-0,126,113,+13,W1
5,Baltimore Ravens,3,1,0,.750,2-0,1-1,1-1,3-1,123,65,+58,W2
6,Cleveland Browns,1,2,1,.375,1-0-1,0-2,0-0-1,1-1-1,102,104,-2,L1
7,Pittsburgh Steelers,1,2,1,.375,0-2,1-0-1,0-1-1,0-2-1,102,116,-14,L1
8,Tennessee Titans,3,1,0,.750,2-0,1-1,2-0,2-1,75,73,+2,W3
9,Jacksonville Jaguars,3,1,0,.750,2-1,1-0,0-1,2-1,88,56,+32,W1
10,Houston Texans,1,3,0,.250,0-1,1-2,1-1,1-2,96,108,-12,W1
11,Indianapolis Colts,1,3,0,.250,0-2,1-1,0-1,0-2,94,100,-6,L2
12,Kansas City Chiefs,4,0,0,1.000,1-0,3-0,2-0,3-0,145,115,+30,W4
13,Denver Broncos,2,2,0,.500,2-1,0-1,1-1,1-2,84,97,-13,L2
14,Los Angeles Chargers,2,2,0,.500,1-1,1-1,0-1,1-1,111,120,-9,W1
15,Oakland Raiders,1,3,0,.250,1-1,0-2,0-1,1-2,97,123,-26,W1
16,Washington Redskins,2,1,0,.667,1-1,1-0,0-0,2-0,64,44,+20,W1
17,Dallas Cowboys,2,2,0,.500,2-0,0-2,1-0,2-2,67,77,-10,W1
18,Philadelphia Eagles,2,2,0,.500,2-0,0-2,0-0,1-1,82,81,+1,L1
19,New York Giants,1,3,0,.250,0-2,1-1,0-1,0-2,73,95,-22,L1
20,Chicago Bears,3,1,0,.750,2-0,1-1,0-1,3-1,111,65,+46,W3
21,Green Bay Packers,2,1,1,.625,2-0-1,0-1,1-0-1,1-1-1,92,83,+9,W1
22,Minnesota Vikings,1,2,1,.375,1-1,0-1-1,0-0-1,1-1-1,90,110,-20,L2
23,Detroit Lions,1,3,0,.250,1-1,0-2,0-0,0-2,94,114,-20,L1
24,New Orleans Saints,3,1,0,.750,1-1,2-0,1-1,2-1,137,121,+16,W3
25,Carolina Panthers,2,1,0,.667,2-0,0-1,0-1,1-1,71,60,+11,W1
26,Tampa Bay Buccaneers,2,2,0,.500,1-1,1-1,1-0,2-1,112,139,-27,L2
27,Atlanta Falcons,1,3,0,.250,1-2,0-1,1-1,1-2,116,122,-6,L2
28,Los Angeles Rams,4,0,0,1.000,3-0,1-0,1-0,2-0,140,67,+73,W4
29,Seattle Seahawks,2,2,0,.500,1-0,1-2,1-0,2-1,85,81,+4,W2
30,San Francisco 49ers,1,3,0,.250,1-0,0-3,0-0,1-1,100,118,-18,L2
31,Arizona Cardinals,0,4,0,.000,0-3,0-1,0-2,0-4,37,94,-57,L4
