,Teamname,W,L,T,PCT,HOME,AWAY,DIV,CONF,PF,PA,DIFF,STRK,AVG LINE,OFF RK (YDS),OFF YDS/G,PTS FOR/G,DEF RK (YDS),YDS ALWD/G,PTS ALWD/G,H/A,Total Inj,Non-IR,IR,Opp,Winner
0,New England Patriots,4,2,0,0.667,1.0,0.0,1.0,0.8,176,148,28,3,-3.25,12.0,381.2,29.3,21,379.3,24.7,0.0,14.0,4.0,10.0,Chicago Bears,
1,Miami Dolphins,4,2,0,0.667,1.0,0.3333333333333333,0.5,0.6,130,145,-15,1,nan,23.0,330.3,21.7,26,396.7,24.2,1.0,13.0,6.0,7.0,Detroit Lions,
2,New York Jets,3,3,0,0.5,0.6666666666666666,0.3333333333333333,0.0,0.4,165,139,26,2,3.0,22.0,340.5,27.5,23,381.0,23.2,1.0,12.0,8.0,4.0,Minnesota Vikings,
3,Buffalo Bills,2,4,0,0.33299999999999996,0.5,0.25,1.0,0.25,76,138,-62,-1,6.5,31.0,222.5,12.7,8,311.7,23.0,0.0,6.0,5.0,1.0,Indianapolis Colts,
4,Cincinnati Bengals,4,2,0,0.667,0.6666666666666666,0.6666666666666666,0.5,0.75,174,158,16,-1,5.9,20.0,352.2,29.0,30,409.2,26.3,0.0,15.0,9.0,6.0,Kansas City Chiefs,
5,Baltimore Ravens,4,2,0,0.667,1.0,0.5,0.3333333333333333,0.6666666666666666,153,77,76,1,-2.5,7.0,393.0,25.5,1,270.8,12.8,1.0,13.0,2.0,11.0,New Orleans Saints,
6,Cleveland Browns,2,3,1,0.41700000000000004,0.6666666666666666,0.0,1.0,0.5,128,151,-23,-1,3.0,18.0,366.2,21.3,29,406.5,25.2,0.0,12.0,6.0,6.0,Tampa Bay Buccaneers,
7,Tennessee Titans,3,3,0,0.5,0.6666666666666666,0.3333333333333333,1.0,0.4,87,107,-20,-2,6.5,30.0,262.7,14.5,12,337.8,17.8,0.0,15.0,7.0,8.0,Los Angeles Chargers,
8,Houston Texans,3,3,0,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,135,137,-2,3,4.5,9.0,388.8,22.5,13,341.7,22.8,0.0,10.0,2.0,8.0,Jacksonville Jaguars,
9,Jacksonville Jaguars,3,3,0,0.5,0.6666666666666666,0.3333333333333333,0.0,0.5,109,126,-17,-2,-4.5,15.0,371.0,18.2, ,306.5,21.0,1.0,16.0,7.0,9.0,Houston Texans,
10,Indianapolis Colts,1,5,0,0.16699999999999998,0.0,0.25,0.0,0.0,152,180,-28,-4,-6.5,16.0,369.2,25.3,24,386.8,30.0,1.0,20.0,10.0,10.0,Buffalo Bills,
11,Kansas City Chiefs,5,1,0,0.833,1.0,0.75,1.0,0.8,215,172,43,-1,-5.9,3.0,418.5,35.8,32,468.2,28.7,1.0,15.0,5.0,10.0,Cincinnati Bengals,
12,Los Angeles Chargers,4,2,0,0.667,0.6666666666666666,0.6666666666666666,0.5,0.75,175,144,31,3,-6.5,5.0,412.5,29.2,16,357.7,24.0,1.0,11.0,6.0,5.0,Tennessee Titans,
