,Avg Line
Miami,7.4
Houston,-7.4
Philadelphia,-3.1
Jacksonville,3.1
Denver,10.0
Kansas City,-10.0
Cleveland,8.0
Pittsburgh,-8.0
Washington,-0.8
NY Giants,0.8
Seattle,3.1
Detroit,-3.1
Tampa Bay,4.5
Cincinnati,-4.5
NY Jets,7.1
Chicago,-7.1
Baltimore,-1.7
Carolina,1.7
Indianapolis,-3.0
Oakland,3.0
San Francisco,0.4
Arizona,-0.4
Green Bay,9.3
LA Rams,-9.3
New Orleans,1.0
Minnesota,-1.0
New England,-13.8
Buffalo,13.8
