,Avg Line
Oakland,3.0
San Francisco,-3.0
Chicago,-9.9
Buffalo,9.9
Tampa Bay,6.6
Carolina,-6.6
Kansas City,-8.6
Cleveland,8.6
NY Jets,2.6
Miami,-2.6
Pittsburgh,3.0
Baltimore,-3.0
Detroit,5.0
Minnesota,-5.0
Atlanta,1.5
Washington,-1.5
Houston,1.0
Denver,-1.0
LA Chargers,1.5
Seattle,-1.5
LA Rams,1.6
New Orleans,-1.6
Green Bay,5.6
New England,-5.6
Tennessee,6.4
Dallas,-6.4
