Player,Tm,Pos,Type,Class,Details
Ricardo Allen,ATL,S,Achilles,I-R,Allen suffered a torn Achilles and is on the injured reserve list.
Andy Levitre,ATL,G,Tricep,I-R,Levitre is on the injured reserve list with a torn triceps.
Keanu Neal,ATL,S,Knee,I-R,Neal is on injured reserve with a torn ACL.
Brandon Fusco,ATL,G,Ankle,I-R,Fusco is on injured reserve due to an ankle injury.
Devonta Freeman,ATL,RB,Groin,I-R,"Freeman in on injured reserve with a groin injury, and it is unknown if he will be designated for return against the Cardinals in Week 15."
Mohamed Sanu,ATL,WR,Hip,probable,Sanu is expected to play Sunday against the Cowboys despite a nagging hip injury.
Deion Jones,ATL,LB,Foot,probable,Jones has been activated from the Injured Reserve/Designated for Return list as he has recovered from a foot injury and is expected to return Sunday against the Cowboys.
De'Vondre Campbell,ATL,LB,Calf,questionable,Campbell is tending to a calf injury and it is uncertain if he will be available Sunday against the Cowboys.
Derrick Shelby,ATL,DE,Groin,questionable,Shelby has a groin injury and it is unclear if he will suit up against the Cowboys on Sunday.
Damontae Kazee,ATL,S,Shoulder,questionable,"Kazee is bothered by a shoulder injury, leaving his status for Sunday's tilt against the Cowboys hazy."
Bruce Carter,ATL,LB,Knee,questionable,Carter is battling a knee injury and it is undetermined if it will hinder his availability against the Cowboys on Sunday.
Matt Bryant,ATL,K,Hamstring,questionable,Bryant has sat out the past three games due to a sore right hamstring and it is unclear if he will be available against the Cowboys on Sunday.
Cory Carter,BUF,P,Knee,I-R,Carter is recovering from a torn ACL and has been placed on injured reserve.
Taiwan Jones,BUF,RB,Neck,I-R,Jones has landed on injured reserve due to a neck injury.
Corey Bojorquez,BUF,P,Shoulder,I-R,Bojorquez has been placed on injured reserve with a shoulder injury.
Charles Clay,BUF,TE,Hamstring,questionable,Clay has been absent from the lineup during the last two games with a hamstring injury and it is undetermined if he will be available Week 12 against the Jaguars.
Matt Milano,BUF,LB,Concussion,probable,Milano departed the last game due to a concussion but is likely to be active Week 12 against the Jaguars.
Trent Murphy,BUF,DE,Knee,questionable,Murphy is sidelined due to a knee injury and it is unclear if he will return to action against the Jaguars during Week 12.
Chris Ivory,BUF,RB,Shoulder,questionable,Ivory was held out of the last game due to a left shoulder injury and it is uncertain if he will participate in Week 12 against the Jaguars.
