,Teamname,W,L,T,PCT,HOME,AWAY,DIV,CONF,PF,PA,DIFF,STRK,AVG LINE,OFF RK (YDS),OFF YDS/G,PTS FOR/G,DEF RK (YDS),YDS ALWD/G,PTS ALWD/G,H/A,Total Inj,Non-IR,IR,Opp,Winner
0,New England Patriots,9,3,0,0.75,1.0,0.5,1.0,0.75,331,259,72,2,-7.5,7.0,395.1,27.6,22.0,369.2,21.6,0.0,15.0,5.0,10.0,Miami Dolphins,
1,Miami Dolphins,6,6,0,0.5,0.8333333333333334,0.16666666666666666,0.75,0.5555555555555556,244,300,-56,1,7.5,29.0,302.1,20.3,29.0,399.4,25.0,1.0,18.0,7.0,11.0,New England Patriots,
2,Buffalo Bills,4,8,0,0.33299999999999996,0.4,0.2857142857142857,0.3333333333333333,0.3333333333333333,178,293,-115,-1,-3.3,31.0,285.7,14.8,2.0,294.2,24.4,1.0,9.0,5.0,4.0,New York Jets,
3,New York Jets,3,9,0,0.25,0.3333333333333333,0.16666666666666666,0.0,0.2222222222222222,243,307,-64,-6,3.3,30.0,301.0,20.3,23.0,376.4,25.6,0.0,15.0,8.0,7.0,Buffalo Bills,
4,Pittsburgh Steelers,7,4,1,0.625,0.5,0.8,0.75,0.5,346,282,64,-2,-10.0,4.0,413.8,28.8,7.0,328.9,23.5,0.0,18.0,9.0,9.0,Oakland Raiders,
5,Baltimore Ravens,7,5,0,0.583,0.6666666666666666,0.5,0.4,0.6666666666666666,297,214,83,3,6.7,13.0,373.7,24.8,1.0,281.7,17.8,0.0,23.0,12.0,11.0,Kansas City Chiefs,
6,Cincinnati Bengals,5,7,0,0.41700000000000004,0.42857142857142855,0.4,0.25,0.375,286,371,-85,-4,14.0,26.0,331.5,23.8,32.0,433.1,30.9,0.0,23.0,9.0,14.0,Los Angeles Chargers,
7,Cleveland Browns,4,7,1,0.375,0.6,0.16666666666666666,0.6666666666666666,0.375,266,312,-46,-1,2.1,18.0,360.3,22.2,30.0,412.8,26.0,1.0,16.0,9.0,7.0,Carolina Panthers,
8,Houston Texans,9,3,0,0.75,0.8333333333333334,0.6666666666666666,0.75,0.7777777777777778,302,235,67,9,-4.5,12.0,374.0,25.2,10.0,341.5,19.6,1.0,18.0,13.0,5.0,Indianapolis Colts,
9,Indianapolis Colts,6,6,0,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,325,279,46,-1,4.5,9.0,377.9,27.1,11.0,347.8,23.3,0.0,26.0,13.0,13.0,Houston Texans,
10,Tennessee Titans,6,6,0,0.5,0.8,0.2857142857142857,0.5,0.4,221,245,-24,1,-5.4,28.0,310.2,18.4,9.0,340.9,20.4,1.0,13.0,7.0,6.0,Jacksonville Jaguars,
11,Jacksonville Jaguars,4,8,0,0.33299999999999996,0.42857142857142855,0.2,0.25,0.3333333333333333,203,243,-40,1,5.4,24.0,335.2,16.9,3.0,315.6,20.3,0.0,24.0,11.0,13.0,Tennessee Titans,
12,Kansas City Chiefs,10,2,0,0.833,1.0,0.7142857142857143,1.0,0.8888888888888888,444,327,117,1,-6.7,3.0,437.2,37.0,31.0,417.0,27.3,1.0,15.0,4.0,11.0,Baltimore Ravens,
13,Los Angeles Chargers,9,3,0,0.75,0.6666666666666666,0.8333333333333334,0.5,0.75,340,249,91,2,-14.0,5.0,399.4,28.3,8.0,334.9,20.8,1.0,13.0,5.0,8.0,Cincinnati Bengals,
14,Denver Broncos,6,6,0,0.5,0.5,0.5,0.5,0.4444444444444444,276,262,14,3,-4.0,14.0,365.7,23.0,25.0,382.9,21.8,0.0,18.0,7.0,11.0,San Francisco 49ers,
15,Oakland Raiders,2,10,0,0.16699999999999998,0.16666666666666666,0.16666666666666666,0.0,0.125,220,367,-147,-2,10.0,22.0,346.9,18.3,28.0,396.6,30.6,1.0,26.0,9.0,17.0,Pittsburgh Steelers,
16,Dallas Cowboys,7,5,0,0.583,0.8333333333333334,0.3333333333333333,0.75,0.6666666666666666,247,223,24,4,-3.4,25.0,331.8,20.6,5.0,318.2,18.6,1.0,16.0,8.0,8.0,Philadelphia Eagles,
17,Philadelphia Eagles,6,6,0,0.5,0.5714285714285714,0.4,0.75,0.4444444444444444,258,266,-8,2,3.4,17.0,360.8,21.5,21.0,368.0,22.2,0.0,17.0,7.0,10.0,Dallas Cowboys,
18,Washington Redskins,6,6,0,0.5,0.5,0.5,0.5,0.6,233,257,-24,-3,3.5,27.0,323.4,19.4,19.0,367.4,21.4,1.0,30.0,13.0,17.0,New York Giants,
19,New York Giants,4,8,0,0.33299999999999996,0.3333333333333333,0.3333333333333333,0.0,0.3,267,315,-48,1,-3.5,21.0,350.2,22.3,24.0,377.7,26.3,0.0,16.0,6.0,10.0,Washington Redskins,
20,Chicago Bears,8,4,0,0.667,0.8333333333333334,0.5,0.75,0.75,344,241,103,-1,3.0,20.0,351.6,28.7,4.0,317.9,20.1,1.0,10.0,5.0,5.0,--LARLos,
21,Minnesota Vikings,6,5,1,0.542,0.6666666666666666,0.4,0.6666666666666666,0.625,275,270,5,-1,3.2,16.0,360.9,22.9,6.0,327.8,22.5,0.0,12.0,4.0,8.0,Seattle Seahawks,
22,Green Bay Packers,4,7,1,0.375,0.8,0.0,0.3333333333333333,0.25,281,287,-6,-3,-5.4,8.0,380.6,23.4,13.0,351.8,23.9,1.0,22.0,10.0,12.0,Atlanta Falcons,
23,Detroit Lions,4,8,0,0.33299999999999996,0.42857142857142855,0.2,0.25,0.2222222222222222,254,316,-62,-2,-2.7,23.0,340.0,21.2,15.0,354.5,26.3,0.0,16.0,10.0,6.0,Arizona Cardinals,
24,New Orleans Saints,10,2,0,0.833,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.7777777777777778,419,269,150,-1,-8.1,6.0,396.6,34.9,16.0,354.7,22.4,0.0,18.0,8.0,10.0,Tampa Bay Buccaneers,
25,Carolina Panthers,6,6,0,0.5,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.4444444444444444,304,306,-2,-4,-2.1,11.0,376.8,25.3,14.0,353.0,25.5,0.0,20.0,8.0,12.0,Cleveland Browns,
26,Tampa Bay Buccaneers,5,7,0,0.41700000000000004,0.6666666666666666,0.16666666666666666,0.5,0.4444444444444444,318,355,-37,2,8.1,1.0,442.7,26.5,27.0,395.4,29.6,1.0,23.0,11.0,12.0,New Orleans Saints,
27,Atlanta Falcons,4,8,0,0.33299999999999996,0.42857142857142855,0.2,0.5,0.5,296,333,-37,-4,5.4,10.0,377.6,24.7,26.0,394.2,27.8,0.0,14.0,7.0,7.0,Green Bay Packers,
28,z --LARLos Angeles Rams,11,1,0,0.917,1.0,0.8333333333333334,1.0,0.875,419,298,121,3,-3.0,2.0,439.9,34.9,18.0,367.3,24.8,0.0,9.0,3.0,6.0,Chicago Bears,
29,Seattle Seahawks,7,5,0,0.583,0.6,0.5714285714285714,0.5,0.6666666666666666,319,259,60,3,-3.2,19.0,353.3,26.6,19.0,367.4,21.6,1.0,16.0,7.0,9.0,Minnesota Vikings,
30,Arizona Cardinals,3,9,0,0.25,0.16666666666666666,0.3333333333333333,0.5,0.375,175,310,-135,1,2.7,32.0,239.3,14.6,17.0,361.3,25.8,1.0,18.0,4.0,14.0,Detroit Lions,
31,San Francisco 49ers,2,10,0,0.16699999999999998,0.4,0.0,0.0,0.1111111111111111,255,336,-81,-3,4.0,15.0,363.3,21.3,12.0,348.8,28.0,1.0,22.0,12.0,10.0,Denver Broncos,
