,Teamname,W,L,T,PCT,HOME,AWAY,DIV,CONF,PF,PA,DIFF,STRK
0,New England Patriots,4,2,0,.667,4-0,0-2,1-0,4-1,176,148,+28,W3
1,Miami Dolphins,4,2,0,.667,3-0,1-2,1-1,3-2,130,145,-15,W1
2,New York Jets,3,3,0,.500,2-1,1-2,0-1,2-3,165,139,+26,W2
3,Buffalo Bills,2,4,0,.333,1-1,1-3,0-0,1-3,76,138,-62,L1
4,Cincinnati Bengals,4,2,0,.667,2-1,2-1,1-1,3-1,174,158,+16,L1
5,Baltimore Ravens,4,2,0,.667,2-0,2-2,1-2,4-2,153,77,+76,W1
6,Pittsburgh Steelers,3,2,1,.583,1-2,2-0-1,1-1-1,1-2-1,171,154,+17,W2
7,Cleveland Browns,2,3,1,.417,2-1-1,0-2,1-0-1,2-2-1,128,151,-23,L1
8,Tennessee Titans,3,3,0,.500,2-1,1-2,2-0,2-3,87,107,-20,L2
9,Houston Texans,3,3,0,.500,2-1,1-2,1-1,2-2,135,137,-2,W3
10,Jacksonville Jaguars,3,3,0,.500,2-1,1-2,0-1,2-2,109,126,-17,L2
11,Indianapolis Colts,1,5,0,.167,0-2,1-3,0-1,0-4,152,180,-28,L4
12,Kansas City Chiefs,5,1,0,.833,2-0,3-1,2-0,4-1,215,172,+43,L1
13,Los Angeles Chargers,4,2,0,.667,2-1,2-1,1-1,3-1,175,144,+31,W3
14,Denver Broncos,2,4,0,.333,2-2,0-2,1-1,1-3,120,154,-34,L4
15,Oakland Raiders,1,5,0,.167,1-2,0-3,0-2,1-3,110,176,-66,L2
16,Washington Redskins,3,2,0,.600,2-1,1-1,0-0,3-1,106,104,+2,W1
17,Dallas Cowboys,3,3,0,.500,3-0,0-3,1-0,2-2,123,103,+20,W1
18,Philadelphia Eagles,3,3,0,.500,2-1,1-2,1-0,2-2,137,117,+20,W1
19,New York Giants,1,5,0,.167,0-3,1-2,0-2,0-4,117,162,-45,L3
20,Chicago Bears,3,2,0,.600,2-0,1-2,0-1,3-1,139,96,+43,L1
21,Green Bay Packers,3,2,1,.583,3-0-1,0-2,1-1-1,2-2-1,148,144,+4,W1
22,Minnesota Vikings,3,2,1,.583,2-1,1-1-1,0-0-1,3-1-1,140,148,-8,W2
23,Detroit Lions,2,3,0,.400,2-1,0-2,1-0,1-2,125,137,-12,W1
24,New Orleans Saints,4,1,0,.800,2-1,2-0,1-1,3-1,180,140,+40,W4
25,Carolina Panthers,3,2,0,.600,3-0,0-2,0-1,2-2,121,114,+7,L1
26,Tampa Bay Buccaneers,2,3,0,.400,1-1,1-2,1-1,2-2,141,173,-32,L3
27,Atlanta Falcons,2,4,0,.333,2-2,0-2,2-1,2-2,167,192,-25,W1
28,Los Angeles Rams,6,0,0,1.000,3-0,3-0,2-0,3-0,196,118,+78,W6
29,Seattle Seahawks,3,3,0,.500,1-1,2-2,1-1,2-2,143,117,+26,W1
30,Arizona Cardinals,1,5,0,.167,0-3,1-2,1-2,1-5,82,139,-57,L1
31,San Francisco 49ers,1,5,0,.167,1-1,0-4,0-1,1-3,148,179,-31,L4
