,Teamname,W,L,T,PCT,HOME,AWAY,DIV,CONF,PF,PA,DIFF,STRK,AVG LINE,OFF RK (YDS),OFF YDS/G,PTS FOR/G,DEF RK (YDS),YDS ALWD/G,PTS ALWD/G,H/A,Total Inj,Non-IR,IR,Opp,Winner
0,New England Patriots,5,2,0,0.7140000000000001,1.0,0.3333333333333333,1.0,0.8,214,179,35,4,-13.8,7.0,381.1,30.6,27.0,389.9,25.6,0.0,17.0,7.0,10.0,Buffalo Bills,
1,Miami Dolphins,4,3,0,0.5710000000000001,0.75,0.3333333333333333,0.5,0.6,151,177,-26,-1,7.4,22.0,329.1,21.6,28.0,405.3,25.3,0.0,19.0,10.0,9.0,Houston Texans,
2,New York Jets,3,4,0,0.429,0.5,0.3333333333333333,0.0,0.4,182,176,6,-1,7.1,21.0,329.4,26.0,23.0,371.7,25.1,0.0,14.0,8.0,6.0,Chicago Bears,
3,Buffalo Bills,2,5,0,0.28600000000000003,0.5,0.2,1.0,0.2,81,175,-94,-2,13.8,31.0,234.0,11.6,11.0,320.9,25.0,1.0,6.0,5.0,1.0,New England Patriots,
4,Pittsburgh Steelers,3,2,1,0.583,0.3333333333333333,1.0,0.5,0.3333333333333333,171,154,17,2,-8.0,16.0,417.7,28.5,12.0,380.2,25.7,1.0,15.0,4.0,11.0,Cleveland Browns,
5,Cincinnati Bengals,4,3,0,0.5710000000000001,0.6666666666666666,0.5,0.5,0.6,184,203,-19,-2,-4.5,20.0,336.0,26.3,31.0,429.4,29.0,1.0,14.0,7.0,7.0,Tampa Bay Buccaneers,
6,Baltimore Ravens,4,3,0,0.5710000000000001,0.6666666666666666,0.5,0.3333333333333333,0.6666666666666666,176,101,75,-1,-1.7,5.0,387.0,25.1,3.0,280.6,14.4,0.0,16.0,5.0,11.0,Carolina Panthers,
7,Cleveland Browns,2,4,1,0.35700000000000004,0.6666666666666666,0.0,1.0,0.5,151,177,-26,-2,8.0,17.0,357.4,21.6,29.0,413.6,25.3,0.0,9.0,3.0,6.0,Pittsburgh Steelers,
8,Houston Texans,4,3,0,0.5710000000000001,0.6666666666666666,0.5,0.6666666666666666,0.6,155,144,11,4,-7.4,10.0,372.1,22.1,14.0,329.9,20.6,1.0,21.0,13.0,8.0,Miami Dolphins,
9,Jacksonville Jaguars,3,4,0,0.429,0.5,0.3333333333333333,0.0,0.4,116,146,-30,-3,3.1,18.0,355.0,16.6,6.0,301.6,20.9,1.0,19.0,8.0,11.0,Philadelphia Eagles,
10,Indianapolis Colts,2,5,0,0.28600000000000003,0.3333333333333333,0.25,0.0,0.2,189,185,4,1,-3.0,11.0,370.1,27.0,24.0,374.9,26.4,0.0,21.0,10.0,11.0,Oakland Raiders,
11,Kansas City Chiefs,6,1,0,0.857,1.0,0.75,1.0,0.8333333333333334,260,182,78,1,-10.0,2.0,437.4,37.1,32.0,435.4,26.0,1.0,15.0,3.0,12.0,Denver Broncos,
12,Denver Broncos,3,4,0,0.429,0.5,0.3333333333333333,0.5,0.25,165,164,1,1,10.0,9.0,376.4,23.6,25.0,378.0,23.4,0.0,20.0,11.0,9.0,Kansas City Chiefs,
13,Oakland Raiders,1,5,0,0.16699999999999998,0.3333333333333333,0.0,0.0,0.25,110,176,-66,-2,3.0,25.0,373.5,18.3,16.0,398.5,29.3,1.0,21.0,10.0,11.0,Indianapolis Colts,
14,Washington Redskins,4,2,0,0.667,0.75,0.5,1.0,0.8,126,121,5,2,-0.8,28.0,337.5,21.0,1.0,325.7,20.2,0.0,20.0,9.0,11.0,New York Giants,
15,Philadelphia Eagles,3,4,0,0.429,0.5,0.3333333333333333,1.0,0.4,154,138,16,-1,-3.1,12.0,362.9,22.0,18.0,355.4,19.7,0.0,17.0,6.0,11.0,Jacksonville Jaguars,
16,New York Giants,1,6,0,0.14300000000000002,0.0,0.25,0.0,0.0,137,185,-48,-4,0.8,14.0,360.4,19.6,21.0,367.3,26.4,1.0,10.0,1.0,9.0,Washington Redskins,
17,Minnesota Vikings,4,2,1,0.643,0.6666666666666666,0.6666666666666666,1.0,0.75,177,165,12,3,-1.0,8.0,380.4,25.3,17.0,345.9,23.6,1.0,15.0,8.0,7.0,New Orleans Saints,
18,Green Bay Packers,3,2,1,0.583,1.0,0.0,0.5,0.5,148,144,4,1,9.3,13.0,421.0,24.7,4.0,328.3,24.0,0.0,14.0,7.0,7.0,Los Angeles Rams,
19,Detroit Lions,3,3,0,0.5,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,157,158,-1,2,-3.1,24.0,380.5,26.2,8.0,360.2,26.3,1.0,6.0,2.0,4.0,Seattle Seahawks,
20,Chicago Bears,3,3,0,0.5,0.6666666666666666,0.3333333333333333,0.0,0.75,170,134,36,-2,-7.1,23.0,380.7,28.3,5.0,350.0,22.3,1.0,7.0,3.0,4.0,New York Jets,
21,New Orleans Saints,5,1,0,0.833,0.6666666666666666,1.0,0.5,0.75,204,163,41,5,1.0,19.0,409.8,34.0,9.0,366.0,27.2,0.0,16.0,8.0,8.0,Minnesota Vikings,
22,Carolina Panthers,4,2,0,0.667,1.0,0.3333333333333333,0.0,0.6,142,131,11,1,1.7,27.0,363.3,23.7,7.0,355.3,21.8,1.0,14.0,5.0,9.0,Baltimore Ravens,
23,Tampa Bay Buccaneers,3,3,0,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,167,196,-29,1,4.5,6.0,449.5,27.8,19.0,417.5,32.7,0.0,12.0,3.0,9.0,Cincinnati Bengals,
24,Los Angeles Rams,7,0,0,1.0,1.0,1.0,1.0,1.0,235,128,107,7,-9.3,1.0,445.3,33.6,13.0,327.4,18.3,1.0,11.0,2.0,9.0,Green Bay Packers,
25,Seattle Seahawks,3,3,0,0.5,0.5,0.5,0.5,0.5,143,117,26,1,3.1,30.0,325.0,23.8,2.0,326.7,19.5,0.0,17.0,8.0,9.0,Detroit Lions,
26,Arizona Cardinals,1,6,0,0.14300000000000002,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,92,184,-92,-2,-0.4,32.0,220.7,13.1,26.0,382.1,26.3,1.0,12.0,7.0,5.0,San Francisco 49ers,
27,San Francisco 49ers,1,6,0,0.14300000000000002,0.3333333333333333,0.0,0.0,0.2,158,218,-60,-5,0.4,15.0,359.9,22.6,22.0,370.6,31.1,0.0,14.0,7.0,7.0,Arizona Cardinals,
