,Avg Line
Philadelphia,-1.7
NY Giants,1.7
Tampa Bay,3.1
Atlanta,-3.1
Carolina,1.2
Washington,-1.2
Seattle,-2.5
Oakland,2.5
Indianapolis,2.4
NY Jets,-2.4
Arizona,10.1
Minnesota,-10.1
Pittsburgh,1.6
Cincinnati,-1.6
LA Chargers,-0.2
Cleveland,0.2
Buffalo,10.0
Houston,-10.0
Chicago,-3.5
Miami,3.5
LA Rams,-6.7
Denver,6.7
Baltimore,-2.6
Tennessee,2.6
Jacksonville,-3.0
Dallas,3.0
Kansas City,3.5
New England,-3.5
San Francisco,9.5
Green Bay,-9.5
