,Teamname,W,L,T,PCT,HOME,AWAY,DIV,CONF,PF,PA,DIFF,STRK
0,New England Patriots,9,4,0,.692,6-0,3-4,3-1,6-3,364,293,+71,L1
1,Miami Dolphins,7,6,0,.538,6-1,1-5,4-1,6-4,278,333,-55,W2
2,Buffalo Bills,4,9,0,.308,2-4,2-5,1-3,3-7,201,320,-119,L2
3,New York Jets,4,9,0,.308,2-4,2-5,1-4,3-7,270,330,-60,W1
4,Pittsburgh Steelers,7,5,1,.577,3-3,4-2-1,3-1-1,4-5-1,367,306,+61,L3
5,Baltimore Ravens,7,6,0,.538,4-2,3-4,2-3,6-4,321,241,+80,L1
6,Cleveland Browns,5,7,1,.423,4-2-1,1-5,2-1-1,3-5-1,292,332,-40,W1
7,Cincinnati Bengals,5,8,0,.385,3-4,2-4,1-3,3-6,307,397,-90,L5
8,Houston Texans,9,4,0,.692,5-2,4-2,3-2,7-3,323,259,+64,L1
9,Indianapolis Colts,7,6,0,.538,4-2,3-4,3-2,6-5,349,300,+49,W1
10,Tennessee Titans,7,6,0,.538,5-1,2-5,3-2,5-6,251,254,-3,W2
11,Jacksonville Jaguars,4,9,0,.308,3-4,1-5,1-4,3-7,212,273,-61,L1
12,x --KCKansas City Chiefs,11,2,0,.846,6-0,5-2,4-0,9-1,471,351,+120,W2
13,Los Angeles Chargers,10,3,0,.769,5-2,5-1,2-2,7-2,366,270,+96,W3
14,Denver Broncos,6,7,0,.462,3-3,3-4,2-2,4-5,290,282,+8,L1
15,Oakland Raiders,3,10,0,.231,2-5,1-5,0-4,2-7,244,388,-144,W1
16,Dallas Cowboys,8,5,0,.615,6-1,2-4,4-1,7-3,276,246,+30,W5
17,Philadelphia Eagles,6,7,0,.462,4-3,2-4,3-2,4-6,281,295,-14,L1
18,Washington Redskins,6,7,0,.462,3-4,3-3,2-3,6-5,249,297,-48,L4
19,New York Giants,5,8,0,.385,2-4,3-4,1-4,4-7,307,331,-24,W2
20,Chicago Bears,9,4,0,.692,6-1,3-3,3-1,7-2,359,247,+112,W1
21,Minnesota Vikings,6,6,1,.500,4-2,2-4-1,2-1-1,5-4-1,282,291,-9,L2
22,Green Bay Packers,5,7,1,.423,5-1-1,0-6,1-2-1,3-6-1,315,307,+8,W1
23,Detroit Lions,5,8,0,.385,3-4,2-4,1-3,3-7,271,319,-48,W1
24,z --NONew Orleans Saints,11,2,0,.846,5-1,6-1,3-1,8-2,447,283,+164,W1
25,Carolina Panthers,6,7,0,.462,5-1,1-6,1-2,4-5,324,332,-8,L5
26,Tampa Bay Buccaneers,5,8,0,.385,4-3,1-5,2-3,4-6,332,383,-51,L1
27,Atlanta Falcons,4,9,0,.308,3-4,1-5,2-2,4-5,316,367,-51,L5
28,z --LARLos Angeles Rams,11,2,0,.846,6-0,5-2,4-0,7-2,425,313,+112,L1
29,Seattle Seahawks,8,5,0,.615,4-2,4-3,2-2,7-3,340,266,+74,W4
30,Arizona Cardinals,3,10,0,.231,1-6,2-4,2-2,3-6,178,327,-149,L1
31,San Francisco 49ers,3,10,0,.231,3-3,0-7,0-4,1-8,275,350,-75,W1
