,Avg Line
LA Rams,1.5
Carolina,-1.5
Tennessee,2.5
Cleveland,-2.5
Baltimore,-3.25
Miami,3.25
Atlanta,1.1
Minnesota,-1.1
Washington,4.625
Philadelphia,-4.625
Indianapolis,4.6
LA Chargers,-4.6
Detroit,6.5
Arizona,-6.5
NY Giants,2.4
Dallas,-2.4
Pittsburgh,1.875
New England,-1.875
Houston,5.2
New Orleans,-5.2
Denver,-1.6666666666666667
Oakland,1.6666666666666667
