RK,TEAM,YDS,YDS/G,PASS,P YDS/G,RUSH,R YDS/G,PTS,PTS/G
1,Chicago,1178,294.5,922,230.5,256,64.0,65,16.3
2,Washington,1281,320.3,911,227.8,370,92.5,87,21.8
3,Jacksonville,1461,292.2,955,191.0,506,101.2,86,17.2
4,Carolina,1502,375.5,1122,280.5,380,95.0,91,22.8
5,Baltimore,1519,303.8,1077,215.4,442,88.4,77,15.4
6,Green Bay,1569,313.8,1044,208.8,525,105.0,114,22.8
7,Buffalo,1654,330.8,1173,234.6,481,96.2,118,23.6
8,Tennessee,1666,333.2,1050,210.0,616,123.2,86,17.2
9,Dallas,1687,337.4,1208,241.6,479,95.8,96,19.2
10,LA Rams,1707,341.4,1173,234.6,534,106.8,98,19.6
11,San Francisco,1742,348.4,1269,253.8,473,94.6,146,29.2
12,Seattle,1775,355.0,1130,226.0,645,129.0,114,22.8
13,Tampa Bay,1783,445.8,1432,358.0,351,87.8,139,34.8
14,Houston,1821,364.2,1346,269.2,475,95.0,124,24.8
15,LA Chargers,1829,365.8,1351,270.2,478,95.6,130,26.0
16,New England,1830,366.0,1260,252.0,570,114.0,108,21.6
17,Detroit,1839,367.8,1110,222.0,729,145.8,137,27.4
18,New Orleans,1845,369.0,1488,297.6,357,71.4,140,28.0
19,NY Jets,1858,371.6,1333,266.6,525,105.0,105,21.0
20,Minnesota,1890,378.0,1393,278.6,497,99.4,131,26.2
21,Miami,1913,382.6,1368,273.6,545,109.0,117,23.4
22,Indianapolis,1947,389.4,1413,282.6,534,106.8,138,27.6
23,Arizona,1955,391.0,1243,248.6,712,142.4,112,22.4
24,Cincinnati,1974,394.8,1383,276.6,591,118.2,130,26.0
25,Denver,1979,395.8,1281,256.2,698,139.6,131,26.2
26,Cleveland,1990,398.0,1407,281.4,583,116.6,113,22.6
27,Atlanta,1993,398.6,1386,277.2,607,121.4,163,32.6
28,Pittsburgh,2006,401.2,1481,296.2,525,105.0,133,26.6
29,Oakland,2022,404.4,1386,277.2,636,127.2,149,29.8
30,Philadelphia,2117,352.8,1638,273.0,479,79.8,117,19.5
31,NY Giants,2148,358.0,1418,236.3,730,121.7,162,27.0
32,Kansas City,2309,461.8,1715,343.0,594,118.8,129,25.8
