,Avg Line
Green Bay,3.0
Seattle,-3.0
Cincinnati,3.5
Baltimore,-3.5
Carolina,-3.8
Detroit,3.8
Tennessee,2.2
Indianapolis,-2.2
Dallas,3.3
Atlanta,-3.3
Tampa Bay,1.6
NY Giants,-1.6
Houston,-3.0
Washington,3.0
Pittsburgh,-5.6
Jacksonville,5.6
Denver,7.0
LA Chargers,-7.0
Oakland,5.3
Arizona,-5.3
Philadelphia,8.3
New Orleans,-8.3
Minnesota,2.6
Chicago,-2.6
Kansas City,3.4
LA Rams,-3.4
