,Avg Line
Denver,-2.5
Arizona,2.5
Tennessee,6.5
LA Chargers,-6.5
Cleveland,3.0
Tampa Bay,-3.0
Carolina,4.3
Philadelphia,-4.3
Minnesota,-3.0
NY Jets,3.0
Detroit,N/A
Miami,N/A
New England,-3.25
Chicago,3.25
Buffalo,6.5
Indianapolis,-6.5
Houston,4.5
Jacksonville,-4.5
New Orleans,2.5
Baltimore,-2.5
Dallas,1.5
Washington,-1.5
LA Rams,-6.5
San Francisco,6.5
Cincinnati,5.9
Kansas City,-5.9
NY Giants,6.0
Atlanta,-6.0
