,Teamname,W,L,T,PCT,HOME,AWAY,DIV,CONF,PF,PA,DIFF,STRK,AVG LINE,OFF RK (YDS),OFF YDS/G,PTS FOR/G,DEF RK (YDS),YDS ALWD/G,PTS ALWD/G,H/A,Total Inj,Non-IR,IR,Opp,Winner
0,New England Patriots,7,2,0,0.778,1.0,0.5,1.0,0.8333333333333334,270,202,68,6,-6.5,4.0,387.6,30.0,28.0,381.1,22.4,0.0,19.0,7.0,12.0,Tennessee Titans,
1,Miami Dolphins,5,4,0,0.556,0.8,0.25,0.6666666666666666,0.5714285714285714,187,225,-38,1,9.4,20.0,315.8,20.8,29.0,394.0,25.0,0.0,16.0,7.0,9.0,Green Bay Packers,
2,New York Jets,3,6,0,0.33299999999999996,0.5,0.2,0.0,0.3333333333333333,198,213,-15,-3,-6.8,25.0,310.6,22.0,22.0,351.7,23.7,1.0,12.0,8.0,4.0,Buffalo Bills,
3,Buffalo Bills,2,7,0,0.222,0.25,0.2,0.0,0.16666666666666666,96,241,-145,-4,6.8,31.0,248.3,10.7,11.0,313.7,26.8,0.0,9.0,6.0,3.0,New York Jets,
4,Pittsburgh Steelers,5,2,1,0.688,0.5,1.0,0.75,0.6,227,188,39,4,-3.7,7.0,415.3,28.4,9.0,347.9,23.5,1.0,17.0,6.0,11.0,Carolina Panthers,
5,Cincinnati Bengals,5,3,0,0.625,0.75,0.5,0.5,0.6,221,237,-16,1,5.2,26.0,344.3,27.6,30.0,447.8,29.6,1.0,18.0,10.0,8.0,New Orleans Saints,
6,Cleveland Browns,2,6,1,0.278,0.5,0.0,0.5,0.3333333333333333,190,247,-57,-4,4.3,15.0,347.4,21.1,31.0,423.9,27.4,1.0,15.0,7.0,8.0,Atlanta Falcons,
7,Tennessee Titans,4,4,0,0.5,0.6666666666666666,0.4,1.0,0.3333333333333333,134,141,-7,1,6.5,30.0,288.3,16.8,5.0,333.5,17.6,1.0,11.0,5.0,6.0,New England Patriots,
8,Jacksonville Jaguars,3,5,0,0.375,0.4,0.3333333333333333,0.0,0.4,134,170,-36,-4,2.8,24.0,352.5,16.8,1.0,313.3,21.3,0.0,22.0,10.0,12.0,Indianapolis Colts,
9,Indianapolis Colts,3,5,0,0.375,0.3333333333333333,0.4,0.0,0.3333333333333333,231,213,18,2,-2.8,16.0,381.5,28.9,18.0,371.4,26.6,1.0,20.0,8.0,12.0,Jacksonville Jaguars,
10,Kansas City Chiefs,8,1,0,0.889,1.0,0.8,1.0,0.875,327,226,101,3,-16.5,2.0,433.4,36.3,32.0,427.4,25.1,1.0,18.0,7.0,11.0,Arizona Cardinals,
11,Los Angeles Chargers,6,2,0,0.75,0.75,0.75,0.5,0.8,220,180,40,5,-9.8,13.0,399.3,27.5,14.0,361.5,22.5,0.0,9.0,3.0,6.0,Oakland Raiders,
12,Oakland Raiders,1,7,0,0.125,0.25,0.0,0.0,0.2,141,252,-111,-4,9.8,21.0,353.8,17.6,24.0,407.1,31.5,1.0,14.0,2.0,12.0,Los Angeles Chargers,
13,Washington Redskins,5,3,0,0.625,0.6,0.6666666666666666,1.0,0.7142857142857143,160,172,-12,-1,2.9,27.0,343.9,20.0,7.0,343.5,21.5,0.0,22.0,8.0,14.0,Tampa Bay Buccaneers,
14,Philadelphia Eagles,4,4,0,0.5,0.5,0.5,1.0,0.4,178,156,22,1,-6.9,18.0,366.9,22.3,11.0,352.9,19.5,1.0,18.0,8.0,10.0,Dallas Cowboys,
15,Dallas Cowboys,3,5,0,0.375,0.75,0.0,0.5,0.4,154,151,3,-2,6.9,29.0,317.1,19.3,2.0,317.0,18.9,0.0,17.0,8.0,9.0,Philadelphia Eagles,
16,New York Giants,1,7,0,0.125,0.0,0.25,0.0,0.0,150,205,-55,-5,3.0,22.0,353.3,18.8,16.0,366.4,25.6,0.0,12.0,4.0,8.0,San Francisco 49ers,
17,Chicago Bears,5,3,0,0.625,0.75,0.5,0.0,0.75,235,153,82,2,-6.5,19.0,358.6,29.4,3.0,321.4,19.1,1.0,12.0,7.0,5.0,Detroit Lions,
18,Green Bay Packers,3,4,1,0.43799999999999994,1.0,0.0,0.5,0.4,192,204,-12,-2,-9.4,11.0,406.6,24.0,10.0,352.4,25.5,1.0,14.0,6.0,8.0,Miami Dolphins,
19,Detroit Lions,3,5,0,0.375,0.5,0.25,0.5,0.2,180,210,-30,-2,6.5,23.0,352.9,22.5,13.0,357.1,26.3,0.0,4.0,1.0,3.0,Chicago Bears,
20,New Orleans Saints,7,1,0,0.875,0.75,1.0,0.5,0.8333333333333334,279,218,61,7,-5.2,12.0,402.0,34.9,20.0,387.8,27.3,0.0,13.0,4.0,9.0,Cincinnati Bengals,
21,Carolina Panthers,6,2,0,0.75,1.0,0.3333333333333333,0.5,0.6666666666666666,220,180,40,3,3.7,17.0,371.6,27.5,8.0,344.8,22.5,0.0,19.0,10.0,9.0,Pittsburgh Steelers,
