,Team,Total Injured,Non-IR,IR
0,San Francisco,25,18,7
1,Seattle,23,15,8
2,Jacksonville,22,11,11
3,Dallas,19,11,8
4,NY Giants,19,8,11
5,Washington,19,10,9
6,Philadelphia,19,14,5
7,New England,18,8,10
8,Denver,18,11,7
9,Indianapolis,18,10,8
10,Tampa Bay,18,12,6
11,Houston,17,8,9
12,NY Jets,16,9,7
13,Miami,16,9,7
14,LA Chargers,15,8,7
15,Cincinnati,15,9,6
16,Tennessee,14,8,6
17,Buffalo,14,10,4
18,Green Bay,14,8,6
19,Arizona,14,7,7
20,New Orleans,14,8,6
21,Kansas City,14,4,10
22,Atlanta,13,8,5
23,Oakland,13,8,5
24,Cleveland,11,7,4
25,Detroit,10,7,3
26,Baltimore,9,5,4
27,Chicago,8,4,4
28,Carolina,7,3,4
29,Minnesota,7,3,4
30,Pittsburgh,6,4,2
31,LA Rams,4,2,2
