,Teamname,W,L,T,PCT,HOME,AWAY,DIV,CONF,PF,PA,DIFF,STRK
0,New England Patriots,7,2,0,.778,5-0,2-2,2-0,5-1,270,202,+68,W6
1,Miami Dolphins,5,4,0,.556,4-1,1-3,2-1,4-3,187,225,-38,W1
2,New York Jets,3,6,0,.333,2-2,1-4,0-2,2-4,198,213,-15,L3
3,Buffalo Bills,2,7,0,.222,1-3,1-4,0-1,1-5,96,241,-145,L4
4,Pittsburgh Steelers,5,2,1,.688,2-2,3-0-1,3-1-1,3-2-1,227,188,+39,W4
5,Cincinnati Bengals,5,3,0,.625,3-1,2-2,1-1,3-2,221,237,-16,W1
6,Baltimore Ravens,4,5,0,.444,2-2,2-3,1-3,4-3,213,160,+53,L3
7,Cleveland Browns,2,6,1,.278,2-2-1,0-4,1-1-1,2-4-1,190,247,-57,L4
8,Houston Texans,6,3,0,.667,3-1,3-2,2-1,5-2,216,184,+32,W6
9,Tennessee Titans,4,4,0,.500,2-1,2-3,2-0,2-4,134,141,-7,W1
10,Jacksonville Jaguars,3,5,0,.375,2-3,1-2,0-2,2-3,134,170,-36,L4
11,Indianapolis Colts,3,5,0,.375,1-2,2-3,0-1,2-4,231,213,+18,W2
12,Kansas City Chiefs,8,1,0,.889,4-0,4-1,3-0,7-1,327,226,+101,W3
13,Los Angeles Chargers,6,2,0,.750,3-1,3-1,1-1,4-1,220,180,+40,W5
14,Denver Broncos,3,6,0,.333,2-3,1-3,1-2,1-5,205,213,-8,L2
15,Oakland Raiders,1,7,0,.125,1-3,0-4,0-2,1-4,141,252,-111,L4
16,Washington Redskins,5,3,0,.625,3-2,2-1,2-0,5-2,160,172,-12,L1
17,Philadelphia Eagles,4,4,0,.500,2-2,2-2,1-0,2-3,178,156,+22,W1
18,Dallas Cowboys,3,5,0,.375,3-1,0-4,1-1,2-3,154,151,+3,L2
19,New York Giants,1,7,0,.125,0-4,1-3,0-3,0-6,150,205,-55,L5
20,Chicago Bears,5,3,0,.625,3-1,2-2,0-1,3-1,235,153,+82,W2
21,Minnesota Vikings,5,3,1,.611,3-2,2-1-1,1-0-1,4-2-1,221,204,+17,W1
22,Green Bay Packers,3,4,1,.438,3-0-1,0-4,1-1-1,2-3-1,192,204,-12,L2
23,Detroit Lions,3,5,0,.375,2-2,1-3,1-1,1-4,180,210,-30,L2
24,New Orleans Saints,7,1,0,.875,3-1,4-0,1-1,5-1,279,218,+61,W7
25,Carolina Panthers,6,2,0,.750,5-0,1-2,1-1,4-2,220,180,+40,W3
26,Atlanta Falcons,4,4,0,.500,3-2,1-2,2-1,4-2,228,226,+2,W3
27,Tampa Bay Buccaneers,3,5,0,.375,2-1,1-4,1-2,2-3,229,275,-46,L2
28,Los Angeles Rams,8,1,0,.889,4-0,4-1,3-0,5-1,299,200,+99,L1
29,Seattle Seahawks,4,4,0,.500,1-2,3-2,1-1,3-2,188,156,+32,L1
30,Arizona Cardinals,2,6,0,.250,1-4,1-2,2-2,2-5,110,199,-89,W1
31,San Francisco 49ers,2,7,0,.222,2-2,0-5,0-3,1-5,207,239,-32,W1
