,Avg Line
Chicago,-2.9
Detroit,2.9
Washington,7.1
Dallas,-7.1
Atlanta,12.3
New Orleans,-12.3
San Francisco,3.5
Tampa Bay,-3.5
New England,-9.5
NY Jets,9.5
NY Giants,5.7
Philadelphia,-5.7
Oakland,10.6
Baltimore,-10.6
Jacksonville,-3.2
Buffalo,3.2
Seattle,3.4
Carolina,-3.4
Cleveland,3.0
Cincinnati,-3.0
Arizona,12.3
LA Chargers,-12.3
Miami,7.9
Indianapolis,-7.9
Pittsburgh,-3.0
Denver,3.0
Green Bay,3.5
Minnesota,-3.5
Tennessee,6.5
Houston,-6.5
