,Avg Line
Green Bay,3.1
Seattle,-3.1
Cincinnati,4.0
Baltimore,-4.0
Carolina,-4.5
Detroit,4.5
Tennessee,1.6
Indianapolis,-1.6
Dallas,3.3
Atlanta,-3.3
Tampa Bay,2.5
NY Giants,-2.5
Houston,-2.9
Washington,2.9
Pittsburgh,-5.4
Jacksonville,5.4
Denver,7.0
LA Chargers,-7.0
Oakland,5.4
Arizona,-5.4
Philadelphia,7.5
New Orleans,-7.5
Minnesota,2.5
Chicago,-2.5
Kansas City,3.5
LA Rams,-3.5
